Client;Count_CA;Count_SA;Count_MF;Count_OVD;Count_CC;Count_CL;ActBal_CA;ActBal_SA;ActBal_MF;ActBal_OVD;ActBal_CC;ActBal_CL
60;1;;;;;;3891.116071;;;;;
61;1;;;;;;232.8353571;;;;;
62;1;;;;;;317.9525;;;;;
63;1;1;2;;;;351.8014286;17220.45286;5616.197857;;;
64;1;;;1;;;0.759642857;;;0;;
65;1;;;;;;220.4589286;;;;;
66;1;1;1;;1;;101.3239286;4104.848929;0;;671.9992857;
67;1;;;;;;1682.813214;;;;;
68;1;;;1;;;4714.448214;;;0;;
69;1;;;;;;1909.81;;;;;
70;1;;;;;;346.4853571;;;;;
71;1;;;1;;;53.59607143;;;0;;
72;1;;;;;;1377.374286;;;;;
73;1;1;1;1;;;179.3571429;21.01607143;53571.42857;0;;
74;1;1;;;1;;736.7660714;0;;;18.76214286;
75;1;1;35;;;;3707.065714;5589.0225;4392.478571;;;
76;1;;;1;1;1;178.3085714;;;0;886.5778571;3447.673571
77;1;;;;;;168.1757143;;;;;
78;1;;;;;;3684.754286;;;;;
79;1;2;1;;;;340.195;901.5539286;4771.731071;;;
80;1;;;;;;2756.826786;;;;;
81;1;;;;;;5860.190714;;;;;
82;1;;1;;;;11324.90786;;34612.79036;;;
83;1;3;7;;;;14.855;90800.88214;0;;;
84;2;;;;;;0;;;;;
85;1;;;1;;;364.4975;;;0;;
86;1;;;;;;34.32214286;;;;;
87;1;;19;;;;826.4403571;;1035.577143;;;
88;1;;;;;;7153.65;;;;;
89;1;1;2;;;;137.7014286;893.1703571;1462.066071;;;
90;1;;;;;;649.5714286;;;;;
91;1;;;;;;0;;;;;
92;1;;;;;;2728.945714;;;;;
93;1;2;;1;1;;8.870357143;3655.818929;;23.06428571;1.428571429;
94;1;1;;;;;8079.0425;7620.556071;;;;
95;1;;;1;;1;3662.217857;;;0;;2812.066786
96;1;1;2;;;;22.32857143;2077.6125;14285.71429;;;
97;1;1;;1;;1;67.9925;6082.56;;142.0660714;;809.465
98;1;;;1;;;468.4696429;;;0;;
99;1;;12;;;;22.89857143;;4689.070357;;;
100;1;;;;1;1;0;;;;247.4932143;802.8071429
101;1;1;2;;;;473.3592857;452.2821429;14429.05143;;;
102;1;;;1;;;48.77107143;;;114.14;;
103;1;;;;;;42.99071429;;;;;
104;1;1;1;;;;501.29;41481.50786;0;;;
105;1;;;;;;670.2957143;;;;;
106;1;;3;;;;112.35;;0;;;
107;1;;;;;;23.33071429;;;;;
108;1;2;;1;;;816.8389286;0;;0;;
109;1;;;;;;1113.518571;;;;;
110;1;1;1;;;;62.47035714;1146.495714;0;;;
111;1;;;1;;;0;;;31.5575;;
112;1;;;;;;204.4614286;;;;;
113;1;;;1;;1;50.78071429;;;0;;17300.48964
114;1;;;;1;;35.71428571;;;;1068.209643;
115;1;;;;;;415.8978571;;;;;
116;1;;;;;;637.8357143;;;;;
117;4;;;1;;;0;;;0;;
118;1;1;2;;;;1184.938214;5876.281429;23214.28571;;;
119;1;1;3;;;;194.9589286;3573.113214;8287.8875;;;
120;1;2;;;;;156.8175;4.548571429;;;;
121;1;1;1;1;1;;37.82142857;541.4121429;329.6078571;98.14071429;2.357142857;
122;1;;;;;;1392.766786;;;;;
123;2;;;;;;8883.968214;;;;;
124;1;;;1;;;120.495;;;0;;
125;1;;;1;1;;0;;;0;108.1207143;
126;1;;;1;;;70.79964286;;;0;;
127;1;;;1;;;2893.112857;;;676.7528571;;
128;1;;;1;;;31.29285714;;;0;;
129;1;;;;;;1103.658571;;;;;
130;1;;;1;;;12.75035714;;;681.5203571;;
131;1;;;;;;898.485;;;;;
132;1;1;;;;;79.41857143;1259.155;;;;
133;1;;;;;;140.6675;;;;;
134;1;;;;;1;2809.197857;;;;;7237.215357
135;1;;;;;;184.1060714;;;;;
136;1;;;;;;564.9810714;;;;;
137;3;;1;;;;185.7221429;;0;;;
138;1;;;;;;114.5914286;;;;;
139;1;;;1;1;;1653.963214;;;0;940.5742857;
140;1;;;1;;;7337.821786;;;0;;
141;1;1;4;;;;36.60178571;4264.655;0;;;
142;1;;;;;;1511.683929;;;;;
143;1;;;;1;;0;;;;853.2671429;
144;1;;;;;;1214.792143;;;;;
145;1;1;;;;;78.52464286;57205.47107;;;;
146;1;;;;;;0.258214286;;;;;
147;1;;;;;;125.5625;;;;;
148;1;;3;;;;132.0985714;;5560.714286;;;
149;1;;;;;;574.6835714;;;;;
150;1;;;1;;;11.59428571;;;0;;
151;1;1;;;;;3053.753929;42257.00179;;;;
152;1;;;1;;;4230.166429;;;0;;
153;1;1;;1;;;936.1510714;2514.216071;;0;;
154;1;;;;;;785.9264286;;;;;
155;1;;;;;;0;;;;;
156;1;1;1;;;;417.8764286;6458.979286;9760.005357;;;
157;1;;;;;;3970.271786;;;;;
158;1;1;;;;;326.6303571;16117.89714;;;;
159;1;;;;;;1577.568214;;;;;
160;1;;;;;;3314.279643;;;;;
161;1;1;2;;;;154.9292857;86.97535714;32280.21393;;;
162;1;;;;;;1.964642857;;;;;
163;1;1;2;;;;1304.829643;3096.087143;1687.600357;;;
164;1;1;9;;;;2690.460357;2579.983214;2851.120714;;;
165;1;;;;;;17.86857143;;;;;
166;1;;;1;;1;15.79714286;;;754.9014286;;2216.481429
167;1;;;;;;3446.811429;;;;;
168;1;1;;1;;;71.42857143;17921.30929;;0;;
169;1;;;;;;1106.425714;;;;;
170;1;;;;;;0;;;;;
171;1;;;;;;4112.732857;;;;;
172;1;3;;;1;;0.041428571;4191.274286;;;28.97142857;
173;1;;;;;;3913.798214;;;;;
174;1;;;1;;1;70.76928571;;;532.6325;;14233.63607
175;1;;;;;2;0.070714286;;;;;20749.29464
176;1;;;;;;343.9407143;;;;;
177;1;;;;;;3515.777143;;;;;
178;1;1;;;;;86.61035714;0.110357143;;;;
179;1;;;;;;11.68464286;;;;;
180;1;;;;;;902.4875;;;;;
181;1;1;;;;;549.2064286;36.61321429;;;;
182;1;;;;;;443.9885714;;;;;
183;1;;;;;;4726.620714;;;;;
184;1;;;;;;160.9032143;;;;;
185;1;;;;;;5733.328214;;;;;
186;1;;;1;;1;981.5882143;;;0;;8742.690357
187;1;1;25;;;;923.9675;456.4010714;0;;;
188;1;;;1;;;748.6853571;;;0;;
189;2;;;;;1;18245.91321;;;;;6001.416786
190;1;1;;1;;;3732.89;6177.329643;;157.9267857;;
191;1;;;;;;1047.586071;;;;;
192;1;2;4;;;;5.295357143;12783.565;367.8571429;;;
193;1;1;;;;;142.9532143;106.1528571;;;;
194;1;;;;;;239.0639286;;;;;
195;1;;;;;;5826.981429;;;;;
196;1;1;;;;;56.39607143;0.045714286;;;;
197;1;1;4;;;;686.3078571;191591.1896;0;;;
198;1;;3;;;;3991.991429;;0;;;
199;1;;;;;1;151.8246429;;;;;4461.236429
200;2;;2;;1;;0;;0;;476.7142857;
201;2;;;;;;5112.856429;;;;;
202;1;;;1;1;;42.95142857;;;0;254.9896429;
203;1;;;;;;10.77285714;;;;;
204;1;;;;;;0.682142857;;;;;
205;1;;;1;;;3234.503214;;;29.37607143;;
206;1;1;;;;;11335.07071;22893.82286;;;;
207;1;;;;;;176.6514286;;;;;
208;1;;;;;;1.04;;;;;
209;1;;;;;;6833.382857;;;;;
210;1;1;7;1;1;1;60226.14179;2501.696786;0;0;494.0885714;1193.524643
211;1;1;15;1;;;6047.588214;1610.681429;303.2432143;272.9392857;;
212;1;;;1;;;226.8142857;;;386.6507143;;
213;1;;;;;;2462.121786;;;;;
214;1;;;1;1;;565.8;;;0;3522.233571;
215;1;;;;;;12891.62679;;;;;
216;1;;;1;;;192.0907143;;;246.5178571;;
217;1;1;;;;;8134.361429;0;;;;
218;1;;;1;;1;121.6953571;;;0;;1280.531429
219;1;1;27;;;;1400.168929;389883.8307;15095.64929;;;
220;1;;;1;;1;252.3603571;;;0;;293.5996429
221;1;;;;1;;1442.284643;;;;0;
222;1;;;;;;0;;;;;
223;1;;;;;;1899.333214;;;;;
224;1;;1;;;;215.4725;;0;;;
225;1;;;1;;;345.6860714;;;618.3975;;
226;1;;;;;;15718.97786;;;;;
227;1;1;8;;;;4710.719643;7194.881071;0;;;
228;1;1;;;;;10138.79;1.109285714;;;;
229;2;;;;;;264.9557143;;;;;
230;1;;;1;;;74934.95607;;;0;;
231;2;;;1;;;113.7810714;;;0;;
232;1;;;;;;33.35428571;;;;;
233;1;;;;;;15.98214286;;;;;
234;1;;;1;;;856.3446429;;;418.7875;;
235;1;;;;;1;253.8321429;;;;;1685.725
236;1;;;;;;561.1032143;;;;;
237;1;;;;;;125.0178571;;;;;
238;1;;;;;;563.4078571;;;;;
239;1;1;10;;;;0;2.944285714;227237.1043;;;
240;1;;1;;;;299.4692857;;6123.713214;;;
241;1;;;;;;170.8567857;;;;;
242;1;;;;;;708.8621429;;;;;
243;1;1;11;;;;534.6296429;83283.00821;0;;;
244;1;;;;;;5.642857143;;;;;
245;1;;;;;;284.3885714;;;;;
246;2;;;;;1;2588.348929;;;;;229.3585714
247;1;1;;;1;;689.3110714;351.8667857;;;0;
248;1;;;;;;776.5903571;;;;;
249;1;1;;;;;42.99535714;1733.5775;;;;
250;1;;;;;;536.9514286;;;;;
251;1;1;;;;;0;6432.6;;;;
252;1;1;;;;;130.7335714;8247.858214;;;;
253;1;;;1;1;;64.68964286;;;0;779.2857143;
254;1;;;1;;;1049.062143;;;0;;
255;2;;;;;;0.2075;;;;;
256;1;;;1;;;572.1632143;;;0;;
257;1;;;;;1;265.5046429;;;;;9723.523214
258;1;;;;;;0;;;;;
259;1;1;10;;;;3260.116429;15882.94607;7542.775;;;
260;1;;;;;;1927.521071;;;;;
261;1;;;;;;194.695;;;;;
262;1;;;;;;2614.333571;;;;;
263;1;;;;;;40.81285714;;;;;
264;1;;;;;;4483.517143;;;;;
265;1;;;;;;17.79571429;;;;;
266;1;;;;;;1033.077857;;;;;
267;1;;;;;;0;;;;;
268;1;;11;;;;9317.071786;;35232.29536;;;
269;1;1;;1;;;611.0925;11325.13179;;984.7853571;;
270;1;;;;;;101.3267857;;;;;
271;1;2;1;;;;0.001428571;3822.741786;4394.670714;;;
272;1;;;;;;716.3985714;;;;;
273;1;;;;;;755.7260714;;;;;
274;1;;;;;;30.44428571;;;;;
275;1;;;;;;5221.425714;;;;;
276;1;;9;;;;18.98821429;;66108.25214;;;
277;1;;;1;;;423.3692857;;;0;;
278;2;;;;;;272.3232143;;;;;
279;3;;;1;;;937.21;;;0;;
280;1;;;;;;0;;;;;
281;1;;1;;;;355.7167857;;26801.155;;;
282;1;1;;1;;;750.2471429;6746.3125;;0;;
283;1;;;;;;571.7292857;;;;;
284;1;;;;;;2505.563571;;;;;
285;1;;;;;;89.44571429;;;;;
286;1;;2;;;;22.43821429;;7512.695357;;;
287;1;;;;;;1681.391786;;;;;
288;1;;;;;;3661.958214;;;;;
289;1;1;2;1;;;152.8221429;6597.335;0;0;;
290;1;;;;;;132.9814286;;;;;
291;2;;;;;;805.28;;;;;
292;1;;;;;;1602.518214;;;;;
293;1;;;;;;183.7814286;;;;;
294;1;1;13;;;;13.18178571;18834.435;0;;;
295;2;;;;;;2414.488214;;;;;
296;1;;;;;;281.0967857;;;;;
297;1;;;1;;;906.7657143;;;0;;
298;1;2;3;1;1;;18.73964286;71.73214286;0;0;0;
299;1;;8;;;;136.6928571;;0;;;
300;1;;;;;;0;;;;;
301;1;;;;1;;1231.442143;;;;506.2821429;
302;1;1;1;;;;86.52964286;24364.765;0;;;
303;3;;;1;1;;3032.8325;;;277.9878571;251.9357143;
304;1;;;;;1;1354.99;;;;;7570.783929
305;1;;;;;;234.4646429;;;;;
306;1;1;;;;;224.4542857;901.3535714;;;;
307;1;2;3;;;;1019.468214;9017.009643;11980.37857;;;
308;1;;;;;;286.4214286;;;;;
309;1;;;;;;3116.859286;;;;;
310;1;;;;;;0;;;;;
311;1;;3;;;;5780.183929;;22495.41179;;;
312;2;;;1;;;306.6557143;;;0;;
313;2;;;1;;;0;;;0;;
314;1;1;4;;;;3948.0425;3.310357143;714285.7143;;;
315;1;;;;;;120.7371429;;;;;
316;1;;;;;;22.73357143;;;;;
317;1;;;;;;6.373928571;;;;;
318;1;;;;;;5254.225357;;;;;
319;2;1;1;1;;;6808.313571;29032.54964;696.8657143;136.0403571;;
320;1;;;;;;86.42857143;;;;;
321;1;1;;1;;;166.755;2691.266786;;0;;
322;1;1;;;;;2175.27;128617.5911;;;;
323;1;;;;;;3743.776429;;;;;
324;1;;1;;;;11581.94821;;202941.6089;;;
325;1;;;;;2;38.90178571;;;;;5285.632143
326;1;;1;;;;30.425;;0;;;
327;1;2;;1;;;5811.818571;1796.83;;0;;
328;1;;;;;;2.415;;;;;
329;1;1;;;;;0;7837.599286;;;;
330;1;;1;;;;380.0489286;;0;;;
331;1;;;;;;0;;;;;
332;1;;;;;;80.32857143;;;;;
333;1;;;;;;97.43107143;;;;;
334;1;;;;;;23516.17143;;;;;
335;1;;;;;;157.9239286;;;;;
336;1;1;;1;1;;28.7925;989.6375;;0;531.7671429;
337;1;1;;1;;;188.9532143;3591.730714;;874.18;;
338;1;;;;;;1889.411429;;;;;
339;1;;;;;;490.9314286;;;;;
340;1;1;;;;;2380.045714;50040.89179;;;;
341;1;;;;;;1724.347857;;;;;
342;1;;5;;;1;5435.900714;;9499.571429;;;14516.52429
343;1;;;1;;;3723.582143;;;0;;
344;1;1;;1;;;2275.505357;41899.29107;;0;;
345;1;;;1;;;11166.44607;;;0;;
346;1;;;1;;;248.7714286;;;468.0807143;;
347;1;;;;;;6444.010714;;;;;
348;1;1;;1;;1;1054.365;12127.58964;;0;;6622.200357
349;2;2;;;;;247.4267857;0.091785714;;;;
350;1;;;1;;;0;;;0;;
351;1;1;;;;;4783.925357;5770.629286;;;;
352;1;1;;;;;1833.338214;219368.6464;;;;
353;1;1;1;;;;985.76;1437.146786;39006.6;;;
354;1;1;1;;;;371.3732143;27122.08571;0;;;
355;1;;;;;;174.485;;;;;
356;1;;;;;;325.75;;;;;
357;1;;;;;;296.3975;;;;;
358;1;;;;;;0.2425;;;;;
359;1;1;;1;;;491.9621429;10719.37786;;0;;
360;4;1;;;;;5871.232143;18085.48821;;;;
361;1;1;1;;;;1642.260357;1586.656786;1714.285714;;;
362;3;1;;1;;;677.8960714;3436.778571;;0;;
363;1;;;;;;7169.007143;;;;;
364;1;;;;;;618.7103571;;;;;
365;1;;;;;;2664.743214;;;;;
366;1;;;1;;;564.0332143;;;0;;
367;1;;;;;;679.6328571;;;;;
368;1;;;;;;17.91857143;;;;;
369;1;;;;;1;383.2585714;;;;;1001.63
370;1;;;;;;368.9910714;;;;;
371;1;;;1;;;201.3167857;;;65.4925;;
372;1;2;;;;;21493.71964;6884.011786;;;;
373;1;;;;;;0;;;;;
374;1;;;1;;;789.4517857;;;0;;
375;1;;;1;;;878.4867857;;;0;;
376;1;;;1;1;;140.06;;;0;617.6560714;
377;1;;;;;;611.6046429;;;;;
378;1;1;;1;;;3677.939643;16080.90393;;0;;
379;1;1;6;;;;7.869642857;606.1792857;23214.28571;;;
380;1;;;;;;2804.529286;;;;;
381;1;;;;;;10.52821429;;;;;
382;1;1;;;;;90.27;46085.245;;;;
383;1;;;1;;2;695.5;;;40.25714286;;353.0857143
384;1;;;;;;2418.876786;;;;;
385;1;3;2;1;;;2717.866786;48214.33393;8922.489286;0;;
386;1;1;;;;;7070.925357;10.74178571;;;;
387;1;;1;;;;486.9907143;;4454.228571;;;
388;1;;;;1;;357.1428571;;;;0.714285714;
389;1;1;28;;;;25.2175;100639.6811;0;;;
390;1;1;79;;;;442.3460714;0.395714286;5468.865357;;;
391;1;;;;1;1;172.5814286;;;;0.714285714;4592.336429
392;1;1;1;;1;;3365.341786;10933.07321;0;;520.5289286;
393;1;;;;;;208.6057143;;;;;
394;1;;;1;;1;3770.360357;;;0;;2557.0525
395;1;;;1;;;102.7571429;;;0;;
396;1;;;;;;5669.983929;;;;;
397;1;;;;;;565.1235714;;;;;
398;2;1;;;;;3692.966786;23.59928571;;;;
399;1;;;;;;451.7967857;;;;;
400;1;;;;;;402.3185714;;;;;
401;1;;;;1;;1439.324286;;;;523.3464286;
402;1;;;;;;3358.467857;;;;;
403;1;;;;;;1705.675;;;;;
404;1;;;;;;60.05178571;;;;;
405;1;;;1;1;;265.5810714;;;0;0.714285714;
406;1;;;;;;3481.373214;;;;;
407;1;;;;;;5215.269643;;;;;
408;1;1;;1;;;4133.402143;0.001785714;;0;;
409;1;;;1;;;348.4028571;;;0;;
410;1;1;1;;;;156.8464286;6231.441429;10837.75214;;;
411;1;;4;;1;1;37207.97429;;0;;2.357142857;6852.941071
412;1;1;;;;;376.8910714;2506.551071;;;;
413;1;2;3;1;1;;1668.372143;20631.68464;0;0;2.357142857;
414;1;2;14;;;;281.4935714;714.1492857;10218.14393;;;
415;1;;;;;;1188.384286;;;;;
416;1;;;;;;906.5260714;;;;;
417;1;;;1;;;621.9010714;;;243.4;;
418;1;;;;;;435.6671429;;;;;
419;1;;;1;;;352.7821429;;;0;;
420;1;1;1;;;;0;57822.75714;0;;;
421;1;;;;;1;7074.069286;;;;;4850.017143
422;1;1;1;;;;502.4460714;92.50607143;0;;;
423;1;;;;;;13.65;;;;;
424;1;1;1;;;;17234.89214;18231.785;1964.695714;;;
425;1;;;;;;1313.513214;;;;;
426;1;;;;;;515.7646429;;;;;
427;1;;;;;;1194.063929;;;;;
428;2;;;;;;3779.613214;;;;;
429;1;;1;;;1;1721.351429;;0;;;901.5175
430;1;;;;;;2.447142857;;;;;
431;1;;;;;;38.55107143;;;;;
432;1;1;1;1;;;11.14214286;1325.176786;0;284.9132143;;
433;2;;;;;;114.6428571;;;;;
434;1;;;;;;2469.842857;;;;;
435;1;;;;;;0;;;;;
436;1;;;;;;40.60071429;;;;;
437;1;;;;;;3.4275;;;;;
438;1;;;;;;8206.767143;;;;;
439;1;;;;;;26.425;;;;;
440;2;;;;;;6129.028929;;;;;
441;1;;;;;;0.57;;;;;
442;1;;;1;;;1083.015357;;;92.625;;
443;1;;;;;2;0;;;;;1038.696786
444;1;;;;;1;494.055;;;;;608.9953571
445;1;;2;;;;2.563928571;;0;;;
446;1;;;;;;13956.805;;;;;
447;1;;;;;;2418.475;;;;;
448;1;1;5;1;;;39.75107143;0.013571429;2989.453929;0;;
449;1;;;1;;;16109.62857;;;0;;
450;1;;;;;;2.857857143;;;;;
451;1;;7;;1;;6.699285714;;538.1303571;;13.07142857;
452;2;;;;;;4474.592143;;;;;
453;1;1;3;;;;605.08;26022.27464;1825.093571;;;
454;1;;;;;;0;;;;;
455;1;2;;;1;;33553.8475;1073.403571;;;530.3564286;
456;1;;4;;;;0;;86589.77107;;;
457;1;;;1;;;427.5753571;;;0;;
458;1;;;;;;1744.026429;;;;;
459;1;;;;;;8.997857143;;;;;
460;1;;4;;;;275.7164286;;0;;;
461;1;1;;;;;6.537857143;6128.227857;;;;
462;1;;;1;;;570.3421429;;;104.0114286;;
463;1;;;1;;;182.7582143;;;0;;
464;2;;;1;;;2249.049643;;;237.2971429;;
465;1;;;;1;;1.708571429;;;;1.178571429;
466;1;1;;;;;178.5714286;2771.098571;;;;
467;1;;;;;;355.5842857;;;;;
468;1;1;3;;;;20.955;745.5110714;0;;;
469;1;;;;;;4415.646071;;;;;
470;1;;;;;;20.6075;;;;;
471;1;;;;;;1923.280357;;;;;
472;1;;;;;;12095.03107;;;;;
473;1;;;1;;1;6325.9025;;;0;;0
474;1;;;1;;;37.07535714;;;0;;
475;1;1;1;;;;9428.947857;3586.751786;0;;;
476;1;;1;1;;;1715.875714;;0;0;;
477;2;2;;;;;5419.34;7352.996786;;;;
478;1;;;1;;;33573.15179;;;0;;
479;1;1;1;1;1;;74.80785714;4352.067857;0;0;627.8571429;
480;1;;;;;;869.8032143;;;;;
481;1;1;;;1;;68.42357143;253.7392857;;;0;
482;1;;;;;;22.41785714;;;;;
483;1;;4;1;;;1345.233929;;0;8.868928571;;
484;1;;;;;;214.9560714;;;;;
485;1;;;;;;1748.505357;;;;;
486;2;;;;;;1815.522857;;;;;
487;1;;;1;;1;3843.146429;;;42.25142857;;3540.218929
488;1;2;;1;;;21.25428571;5247.970357;;0;;
489;1;1;;;;;5021.998214;12591.48571;;;;
490;1;;;;;;806.4596429;;;;;
491;1;;;1;1;2;185.9032143;;;0;0;9115.112857
492;1;;;;1;;8846.825714;;;;0.464285714;
493;1;;;;;;2161.553214;;;;;
494;1;;;;;1;715.6910714;;;;;3571.428571
495;1;;5;;1;;8.540357143;;6667.976429;;641.5753571;
496;1;;;;;;0;;;;;
497;1;;;;;;930.3110714;;;;;
498;1;;;;;;883.9760714;;;;;
499;1;;;1;;;949.6864286;;;97.91107143;;
500;3;1;3;;;;1180.659286;10940.43036;35627.70964;;;
501;1;2;1;;;;460.5771429;5136.296071;0;;;
502;1;;;1;;;950.4725;;;0;;
503;1;;;;;;1175.755;;;;;
504;1;;;;;;20.95;;;;;
505;1;2;;;;;9078.213571;4.1825;;;;
506;1;1;;1;;;1407.341786;19.30642857;;339.3071429;;
507;1;1;3;;1;;395.4264286;4474.939286;0;;0.714285714;
508;1;;;;;;1329.243929;;;;;
509;1;;;1;;;6722.328571;;;0;;
510;1;1;;;;;1181.878571;5443.611071;;;;
511;1;;;1;;1;224.2139286;;;0;;915.0682143
512;1;;;;;;825.4510714;;;;;
513;1;;;;;;29.48571429;;;;;
514;1;;;;;;27.09035714;;;;;
515;1;2;;;;;956.6560714;10861.7475;;;;
516;1;1;;;;;94.88607143;4815.985714;;;;
517;1;;;;;;17.05107143;;;;;
518;1;;;;;;1704.711786;;;;;
519;1;;;;;;210.8446429;;;;;
520;1;1;;;;;1401.136429;3779.009286;;;;
521;1;;;1;;;80.2725;;;0;;
522;3;;;;;;1.280714286;;;;;
523;1;;;;;;7041.8525;;;;;
524;1;;9;;;;57.61178571;;3571.428571;;;
525;1;1;4;;;;0.388214286;3845.991786;31884.50929;;;
526;1;;;;;1;237.4757143;;;;;7142.857143
527;1;;;;;;1780.251786;;;;;
528;1;;;1;;;0;;;0;;
529;1;1;;;;;2014.426786;36183.43357;;;;
530;1;2;2;;;;349.085;11980.92321;28571.42857;;;
531;1;;;;;;338.0025;;;;;
532;1;3;;;;;2271.057857;16385.83429;;;;
533;1;;;;;;50;;;;;
534;1;;;;;;0;;;;;
535;1;1;;;;;9.636428571;104847.1275;;;;
536;1;;;;;;663.8435714;;;;;
537;1;;1;;;;814.4560714;;0;;;
538;1;1;;;;;4.273214286;3913.166429;;;;
539;1;;;;;;32.99107143;;;;;
540;1;1;;;;;3007.264643;4842.638571;;;;
541;1;;;;;;4.902142857;;;;;
542;1;;;1;;;1525.141429;;;0;;
543;1;;3;;;;2.897857143;;446183.4232;;;
544;1;;64;;;;4808.271071;;32990.44607;;;
545;1;1;;;;;3852.053929;37045.96571;;;;
546;1;;;;;;1023.336429;;;;;
547;1;1;1;;;;4446.794643;1253.660714;33004.46143;;;
548;1;;;;;;2663.137857;;;;;
549;1;;;;;;192.7760714;;;;;
550;1;;;1;;;57.60035714;;;192.0142857;;
551;1;;;;1;1;865.4814286;;;;0.928571429;625.6260714
552;1;;;;;;730.9875;;;;;
553;1;;;;;;3274.0575;;;;;
554;1;;;;;;2032.232857;;;;;
555;1;;;;;;16.08214286;;;;;
556;1;;;;;;227.2621429;;;;;
557;1;;2;1;;;2815.486786;;0;0;;
558;1;;;;;;393.4128571;;;;;
559;1;1;4;1;;;464.6071429;728.0439286;0;881.6967857;;
560;1;;;;;;6586.222857;;;;;
561;1;;;1;1;;269.3685714;;;0;619.2857143;
562;2;;;1;;;2006.015;;;0;;
563;1;1;4;1;;;56.62785714;0.4475;263.9532143;255.4853571;;
564;1;;;;;;1391.6125;;;;;
565;1;;;1;;;7.018571429;;;0;;
566;2;1;;;1;3;577.8582143;22018.58643;;;474.3739286;2405.282857
567;1;;;;;;6808.197857;;;;;
568;1;;;;1;;809.9760714;;;;325.6457143;
569;1;;;1;;;1.149285714;;;139.6621429;;
570;1;;;;;;575.1746429;;;;;
571;1;;;1;1;;0.297857143;;;0;1223.214286;
572;1;;;1;;;2739.563929;;;0;;
573;1;;;;;;1243.505714;;;;;
574;1;;;1;;1;3364.946786;;;0;;533.2189286
575;1;;;;;;765.9475;;;;;
576;1;;;;;1;2.021071429;;;;;883.7446429
577;1;;;;;;317.1153571;;;;;
578;1;;;;;;4781.011071;;;;;
579;1;;4;;;;10.96357143;;0;;;
580;1;1;7;;;;4.025357143;16272.20214;2510.752857;;;
581;1;1;;1;1;;0;14811.98107;;0;-1.428571429;
