Client;VolumeCred;VolumeCred_CA;TransactionsCred;TransactionsCred_CA;VolumeDeb;VolumeDeb_CA;VolumeDebCash_Card;VolumeDebCashless_Card;VolumeDeb_PaymentOrder;TransactionsDeb;TransactionsDeb_CA;TransactionsDebCash_Card;TransactionsDebCashless_Card;TransactionsDeb_PaymentOrder
1466;742.5971429;742.5971429;4;4;624.4285714;624.4285714;71.42857143;23.21428571;526.3928571;6;6;1;1;3
226;2071.475714;2071.475714;2;2;1289.178571;1289.178571;0;0;1285.714286;3;3;0;0;2
453;2003.296071;2003.238214;4;3;2670.389286;2670.389286;357.1428571;174.5357143;2125.821429;10;10;1;2;6
279;0.003571429;0.003571429;1;1;199.9285714;199.9285714;0;0;0;3;3;0;0;0
960;0;0;0;0;8.714285714;8.714285714;7.142857143;0;0;3;3;1;0;0
1237;1135.518214;844.215;8;5;856.7178571;810.6821429;92.85714286;4.967857143;558.3571429;22;19;4;2;9
184;0.009642857;0.009642857;1;1;131.8742857;131.8742857;0;129.3432143;0;4;4;0;2;0
400;419.7171429;419.7171429;2;2;2713.178571;2713.178571;0;0;206.0714286;7;7;0;0;4
252;398.1464286;0.033214286;5;1;969.7142857;969.7142857;0;775.0714286;190.6071429;5;5;0;1;3
661;359.9785714;357.1442857;3;2;495.3289286;138.1860714;71.42857143;64.79321429;357.1428571;10;9;1;7;1
1430;988.2214286;988.2214286;12;12;1365.255357;1365.255357;0;122.6482143;1239.214286;16;16;0;7;8
1089;824.3257143;824.3257143;2;2;1537.927857;1537.927857;535.7142857;0;998.1778571;14;14;1;0;12
880;8.143214286;8.143214286;2;2;42.42857143;42.42857143;17.85714286;24.57142857;0;9;9;2;7;0
888;407.6814286;407.6814286;4;4;387.6785714;387.6785714;357.1428571;0;0;5;5;1;0;0
91;1217.780714;1217.780714;2;2;1196.107143;1196.107143;571.4285714;503.25;121.4285714;29;29;4;23;2
1270;0.017857143;0.017857143;1;1;274.7857143;274.7857143;178.5714286;96.21428571;0;4;4;2;2;0
774;2256.241786;1475.583214;20;16;2208.916071;1475.583214;421.4285714;0;160.4285714;30;15;4;0;2
1500;0.000714286;0.000714286;1;1;0;0;0;0;0;0;0;0;0;0
1392;791.0521429;674.6246429;7;4;0;0;0;0;0;0;0;0;0;0
1363;48.21428571;48.21428571;1;1;17.85714286;17.85714286;17.85714286;0;0;1;1;1;0;0
1224;571.5132143;571.5132143;2;2;7801.615357;7801.615357;3271.428571;3292.765;170.3928571;40;40;9;17;6
157;1023.934286;1023.934286;3;3;1076.535714;1076.535714;357.1428571;157.8035714;343.3214286;18;18;2;6;7
461;1463.916071;1463.800714;5;4;1590.598214;1590.598214;0;340.7517857;719.9642857;18;18;0;3;12
1373;33409.29357;33409.29357;36;36;44078.18393;44078.18393;1250;246.5121429;3908.843214;44;44;4;6;21
391;636.6425;576.8935714;10;4;565.7914286;504.8210714;178.5714286;0;137.6785714;31;18;4;0;6
1249;380.7153571;380.7153571;4;4;342.6428571;342.6428571;132.1428571;9.821428571;195.6428571;16;16;9;1;4
1323;575.4332143;575.4332143;5;5;252.75;252.75;0;120.6071429;132.1428571;6;6;0;4;2
38;987.8585714;987.8585714;4;4;957.6796429;957.6796429;307.1428571;219.4296429;427.7142857;26;26;4;12;9
1259;370.6760714;339.2867857;3;2;327.5371429;323.18;17.85714286;33.25142857;221.5;15;13;1;3;7
165;1383.262857;1383.262857;3;3;1065.923214;1065.923214;142.8571429;0;779.0085714;17;17;1;0;12
1182;2450.174643;1928.656429;13;7;2266.728929;1787.4875;89.28571429;753.8196429;911.2882143;53;18;1;34;13
290;1723.189643;1723.189643;9;9;4068.572857;4068.572857;164.2857143;108.7157143;3791.535714;28;28;1;12;14
191;998.6810714;998.6810714;4;4;995.4103571;995.4103571;114.2857143;83.94678571;790.035;19;19;6;5;4
1153;220.0367857;220.0367857;3;3;214.6285714;214.6285714;0;8.45;203.7857143;6;6;0;1;4
24;1141.0925;1141.0925;3;3;902.0678571;902.0678571;0;258.425;639.5357143;22;22;0;6;15
489;0.001428571;0.000357143;2;1;85.10714286;85.10714286;60.71428571;24.39285714;0;5;5;3;2;0
764;2867.806786;2857.153214;3;2;2395.308571;2395.308571;0;475.13;1920.071429;39;39;0;27;11
1598;8.349642857;8.216428571;5;4;5.214285714;5.214285714;0;0;5.214285714;1;1;0;0;1
1215;887.5417857;887.5417857;4;4;1333.432143;1333.432143;571.4285714;111.2178571;645.1071429;17;17;4;3;6
612;4668.532857;2989.729643;10;5;3182.860357;2925.655;35.71428571;257.2053571;924.5714286;29;16;1;13;10
843;2098.15;2098.15;4;4;2136.121429;2136.121429;357.1428571;643.5857143;1130.178571;23;23;1;8;11
1239;201.6232143;201.6232143;4;4;127.3071429;127.3071429;0;73.73571429;53.57142857;6;6;0;5;1
1157;1849.126071;1696.1325;16;10;3103.267143;2210.805714;678.5714286;661.7060714;736.2857143;87;75;16;31;16
343;272.8582143;272.8582143;3;3;201.4042857;201.4042857;82.14285714;18.29714286;100.75;12;12;6;4;1
730;654.3382143;654.3382143;3;3;323.1317857;323.1317857;64.28571429;0;256.6675;4;4;1;0;2
314;820.8557143;816.6614286;3;2;2215.785714;2215.785714;0;0;394.3571429;8;8;0;0;6
255;1160.015;1160.015;2;2;1037.178214;1037.178214;500;73.57142857;414.4639286;15;15;5;2;4
683;428.5717857;428.5717857;3;3;437.4789286;437.4789286;357.1428571;78.1575;0;7;7;3;2;0
1037;1058.06;797.7528571;11;8;1071.512857;804.3678571;0;71.41785714;468.9642857;25;17;0;1;12
1040;2812.756786;2800.188571;8;6;804.1739286;804.1739286;0;0;192.7453571;6;6;0;0;3
595;499.5367857;499.5367857;2;2;518.3214286;518.3214286;514.2857143;0;0;12;12;8;0;0
1546;0.000357143;0.000357143;1;1;87.17857143;87.17857143;0;43.85714286;39.92857143;11;11;0;8;2
231;899.3146429;857.4328571;8;6;886.3235714;844.4635714;392.8571429;123.6535714;284.1782143;24;22;2;9;7
470;491.7210714;491.7210714;4;4;931.1357143;931.1357143;0;847.8142857;79.5;16;16;0;8;5
248;325.0192857;325.0192857;3;3;253.1239286;253.1239286;132.1428571;72.995;47.98607143;14;14;4;9;1
504;1099.4825;1099.4825;2;2;5698.346429;5698.346429;2892.857143;2168.025;438.5714286;29;29;6;11;7
1415;414.0360714;412.5092857;4;3;303;303;107.1428571;0;193.6785714;4;4;1;0;2
1398;0.001428571;0.001428571;1;1;1.964285714;1.964285714;0;0;0;1;1;0;0;0
341;82.54964286;82.54964286;3;3;97.96428571;97.96428571;0;0;95.35714286;4;4;0;0;3
335;428.5753571;428.5753571;4;4;840.7428571;840.7428571;107.1428571;403.6;327.7142857;15;15;2;7;5
756;5619.950714;4429.792857;37;30;6812.080357;4438.271429;867.8571429;911.5635714;832.8014286;86;53;6;23;14
762;385.0521429;385.0521429;3;3;405.75;405.75;392.8571429;0;10.71428571;6;6;3;0;1
1056;0.021785714;0.021785714;1;1;0.893928571;0.893928571;0;0;0;1;1;0;0;0
1088;1722.781786;1722.781786;4;4;505.6878571;505.6878571;35.71428571;71.27;395.3107143;8;8;1;2;4
628;179.4453571;105.5360714;4;2;76.08785714;76.08785714;0;0;0;3;3;0;0;0
578;1145.619286;1145.619286;2;2;1598.845714;1598.845714;567.8571429;603.9885714;427;19;19;2;12;5
733;15.65357143;0;1;0;0;0;0;0;0;0;0;0;0;0
1299;535.7153571;535.7153571;2;2;141.1785714;141.1785714;0;0;137.7857143;4;4;0;0;3
57;134.3575;134.3575;20;20;183.735;183.735;107.1428571;34.735;36.57142857;6;6;1;2;1
564;0.001785714;0.001785714;1;1;136.6428571;136.6428571;0;0;134.25;3;3;0;0;2
1510;21684.49571;21682.11964;7;3;13882.46429;13880.10714;0;0;13875;18;14;0;0;12
677;475.6814286;475.6814286;2;2;216.2964286;216.2964286;103.5714286;112.725;0;13;13;4;9;0
589;1824.772857;1803.781429;6;5;1115.285714;1115.285714;0;0;1115.285714;7;7;0;0;7
236;433.3582143;433.3582143;3;3;512.7392857;512.7392857;450;35.34642857;21.42857143;25;25;11;3;1
782;64.56892857;63.25642857;3;2;346.5678571;346.5678571;0;343.175;0;25;25;0;24;0
1518;0.014642857;0.014642857;1;1;1.964285714;1.964285714;0;0;0;1;1;0;0;0
549;0.007142857;0.007142857;1;1;445.25;445.25;428.5714286;12.42857143;0;15;15;9;1;0
350;2467.125714;1664.491429;28;22;2338.375357;1539.491429;375;0;357.75;36;20;4;0;7
1300;157.1503571;157.1503571;2;2;327.7142857;327.7142857;121.4285714;0;206.0714286;8;8;4;0;3
79;50.34857143;0.000357143;3;1;0;0;0;0;0;0;0;0;0;0
698;1664.443214;1659.095;3;2;28.67857143;28.67857143;0;0;26.28571429;3;3;0;0;2
67;632.0292857;632.0292857;2;2;69.53571429;69.53571429;0;60.78571429;0;3;3;0;1;0
518;535.7164286;535.7164286;3;3;556.3642857;556.3642857;125;358.0428571;41.67857143;14;14;2;7;2
899;403.5721429;403.5721429;2;2;401.4385714;401.4385714;17.85714286;2.774285714;0;4;4;1;1;0
459;782.9675;782.9675;2;2;582.8285714;582.8285714;53.57142857;0;522.2928571;17;17;1;0;13
749;379.3646429;379.3646429;2;2;380.5357143;380.5357143;378.5714286;0;0;3;3;2;0;0
840;336.9085714;335.73;6;4;1380.310357;1377.953214;71.42857143;642.8571429;236.2496429;13;9;2;1;3
807;1695.690357;1695.690357;3;3;1509.3;1509.3;0;264.9785714;935.25;22;22;0;9;11
767;1944.046786;1942.901429;5;4;3461.066071;1471.155357;0;81.72678571;313.25;13;11;0;4;5
207;53.60392857;53.60392857;3;3;16.24892857;16.24892857;0;0;0;3;3;0;0;0
1532;2285.725357;2285.725357;4;4;1500.237857;1500.237857;0;231.2735714;1265.571429;14;14;0;5;8
1574;0.007142857;0.007142857;1;1;0.893928571;0.893928571;0;0;0;1;1;0;0;0
754;565.7867857;565.7867857;2;2;3.012857143;3.012857143;0;0;0;2;2;0;0;0
951;1038.485357;926.1214286;16;7;1262.954643;976.805;392.8571429;287.5385714;382.1785714;37;22;4;10;11
674;1552.681071;1552.681071;10;10;1480.431429;1480.431429;289.2857143;458.7528571;732.1785714;39;39;3;22;13
696;1521.250714;1459.827143;5;4;1591.185714;1584.507143;1035.714286;206.0785714;241.3214286;26;24;4;11;7
552;428.5742857;428.5742857;2;2;411.7575;411.7575;242.8571429;152.7932143;10.71428571;25;25;7;13;1
653;17.55535714;0;1;0;0;0;0;0;0;0;0;0;0;0
406;829.2332143;829.2332143;2;2;517.3571429;517.3571429;410.7142857;16.07142857;83.25;11;11;3;1;4
1060;157.0717857;157.0717857;5;5;144.0453571;144.0453571;46.42857143;96.36678571;0;9;9;1;7;0
682;1152.682857;866.5007143;5;3;1043.535714;1043.535714;742.8571429;0;297.9285714;22;22;12;0;2
466;74.715;74.715;2;2;14.10714286;14.10714286;0;10.71428571;0;3;3;0;2;0
713;860.505;860.505;3;3;871.1607143;871.1607143;521.4285714;278.7321429;67.39285714;29;29;6;16;5
1543;4963.836429;2535.916429;17;10;2584.351071;2540.405357;0;95.22857143;35.71428571;20;10;0;6;1
168;303.645;303.645;3;3;315.0714286;315.0714286;0;0;311.6785714;7;7;0;0;6
1334;881.7364286;502.2685714;10;3;1704.580714;1448.473571;464.2857143;250.75;677.4642857;34;11;3;20;6
1522;3483.031429;2840.823929;13;6;2926.779643;2793.283214;0;128.1392857;2176.214286;16;11;0;2;9
454;568.0375;568.0375;2;2;649.8142857;649.8142857;642.8571429;3.492857143;0;18;18;9;1;0
232;542.9685714;542.9685714;2;2;479.3064286;479.3064286;0;62.91357143;413.5714286;9;9;0;3;5
1136;1164.289286;1164.289286;5;5;1115.321429;1115.321429;257.1428571;46.39285714;810.8214286;18;18;5;4;5
216;135.7164286;135.7164286;2;2;3.392857143;3.392857143;0;0;0;1;1;0;0;0
990;3650.553929;3623.965714;5;3;3620.63;3615.271429;0;0;3071.428571;6;5;0;0;2
763;938.5910714;880.9;7;2;642.75;635.1071429;500;0;16.07142857;10;5;1;0;1
1012;671.2157143;671.2157143;2;2;671.6428571;671.6428571;446.4285714;0;221.6071429;5;5;1;0;3
1614;591.2164286;591.2164286;3;3;527.9257143;527.9257143;125;167.4971429;194.1785714;15;15;1;8;3
1538;35830.19286;110.1728571;4;2;35714.28571;35714.28571;0;0;35714.28571;1;1;0;0;1
480;357.1428571;357.1428571;1;1;360.5357143;360.5357143;0;0;357.1428571;2;2;0;0;1
1551;67.49857143;67.45535714;5;4;471.8789286;404.4253571;107.1428571;61.81071429;232.0357143;13;10;1;5;2
1086;389.3942857;389.3942857;2;2;394.8928571;394.8928571;357.1428571;35.78571429;0;4;4;1;2;0
497;0.001785714;0.001785714;1;1;0;0;0;0;0;0;0;0;0;0
402;8912.037143;8912.037143;4;4;10656.65857;10656.65857;1114.478214;3637.616786;2261.176071;37;37;5;18;5
303;3678.526429;2676.002857;28;21;3984.040714;2676.002857;232.1428571;347.6157143;756.6785714;67;39;3;20;14
475;1758.768571;1757.7225;5;4;1351.669286;1351.669286;178.5714286;214.0621429;944.75;23;23;2;6;14
561;1886.713929;1297.77;20;14;1849.313571;1297.77;60.71428571;78.56428571;576;32;19;3;3;8
1131;854.5564286;854.5564286;4;4;502.9285714;502.9285714;285.7142857;54.82142857;159;11;11;2;3;5
1169;655.2128571;655.2128571;2;2;691.8535714;691.8535714;500;189.8892857;0;9;9;1;7;0
909;789.1296429;738.23;4;3;450.6785714;448.8928571;178.5714286;0;166.5714286;8;7;1;0;4
827;1755.281786;1750.404286;9;6;1474.321429;1455.035714;607.1428571;17.85714286;843.25;26;23;4;1;17
331;535.72;535.72;2;2;729.19;729.19;471.4285714;249.0114286;0;36;36;13;16;0
586;14.28642857;14.28642857;2;2;14.28571429;14.28571429;14.28571429;0;0;2;2;2;0;0
771;402.8667857;402.8667857;2;2;348.1428571;348.1428571;196.4285714;0;149.1071429;5;5;1;0;3
457;2959.581429;2004.256786;17;14;2703.709643;2004.256786;464.2857143;100.8642857;335.8214286;27;16;2;5;3
228;1428.594286;1428.594286;2;2;900.8928571;900.8928571;357.1428571;208.9642857;330.9285714;12;12;1;2;7
1499;1376.794643;1339.050357;5;4;1733.850714;1730.886429;285.7142857;344.9221429;395.8571429;31;30;4;10;12
74;833.285;793.8325;8;3;708.3928571;706.9642857;214.2857143;0;492.6785714;7;5;3;0;2
1356;1853.573214;1853.573214;3;3;1836.552143;1836.552143;0;63.15928571;0;3;3;0;1;0
1201;955.3260714;955.3260714;5;5;955.2457143;955.2457143;160.7142857;321.6814286;264.8214286;22;22;1;12;6
817;974.0171429;974.0171429;5;5;516.1785714;516.1785714;0;0;513.6785714;6;6;0;0;5
1444;330.3585714;330.3585714;2;2;285.7142857;285.7142857;285.7142857;0;0;1;1;1;0;0
324;655.08;655.08;4;4;1100.625;1100.625;535.7142857;257.5535714;303.4285714;20;20;2;5;12
1389;1078.787143;1078.787143;21;21;1792.785714;1792.785714;0;0;1164.464286;11;11;0;0;8
957;1321.4;1320.551786;4;3;956.1364286;956.1364286;346.4285714;179.7078571;426.3928571;20;20;2;7;10
383;2272.357143;2212.006429;28;27;2580.751429;2578.644286;1428.571429;320.7464286;605.0714286;31;30;2;10;12
1413;6.433214286;0.004642857;2;1;143.1689286;143.1689286;0;122.9189286;20.25;15;15;0;14;1
65;191.1789286;191.1789286;4;4;190.1071429;190.1071429;75;18.57142857;85.82142857;19;19;6;9;2
1475;794.7878571;794.7878571;4;4;855.9642857;855.9642857;407.1428571;0;445.4285714;10;10;3;0;6
104;528.3825;527.7946429;4;3;556.1075;556.1075;0;53;495.8575;10;10;0;1;8
1228;562.7560714;562.7560714;2;2;633.5639286;633.5639286;135.7142857;247.8496429;250;18;18;2;15;1
1465;535.715;535.715;2;2;542.2535714;542.2535714;0;0;0;3;3;0;0;0
837;107.7167857;107.7167857;2;2;80.92857143;80.92857143;0;0;78.75;2;2;0;0;1
1590;17970.20393;17970.20393;28;28;24382.80286;24382.80286;2777.428571;3635.701429;17947.39286;83;83;6;59;14
214;491.0453571;490.3310714;3;2;809.0321429;807.6035714;214.2857143;139.7107143;450.2142857;19;17;2;9;5
1449;1371.315714;1326.966071;9;7;1657.853571;1272.139286;621.4285714;80.175;566.7142857;28;25;7;7;8
11;451.8478571;449.3960714;3;2;412.8928571;412.8928571;410.7142857;0;0;5;5;3;0;0
126;771.6589286;771.6589286;8;8;999.0714286;999.0714286;0;0;994.7142857;23;23;0;0;22
1227;948.0632143;928.5771429;3;2;1793.285714;1793.285714;1428.571429;50.35714286;297.3571429;13;13;2;1;8
456;1953.654643;1953.654643;5;5;2375.166429;2375.166429;71.42857143;1381.987857;921.75;20;20;1;11;8
194;58.93071429;58.93071429;3;3;342.7071429;342.7071429;0;0;0;3;3;0;0;0
385;956.07;955.5775;4;3;1099.038571;1099.038571;964.2857143;0;131.2528571;15;15;4;0;10
816;1321.430357;1321.430357;2;2;1461.317857;1461.317857;0;0;909.1464286;11;11;0;0;7
1183;509.1157143;484.8396429;6;3;149.5671429;149.5671429;0;0;133.1428571;6;6;0;0;3
1128;982.1517857;982.1517857;3;3;831.8757143;831.8757143;0;159.4546429;627.5639286;17;17;0;5;8
1293;16961.99107;15080.345;22;14;17111.04714;15266.05929;185.7142857;0;13195.82143;23;15;1;0;5
1084;253.5967857;253.5967857;2;2;731.9064286;731.9064286;535.7142857;190.4778571;0;15;15;4;7;0
329;264.3471429;192.8571429;5;3;299.9114286;192.7685714;114.2857143;0;7.142857143;5;4;2;0;1
1371;4.652142857;0;6;0;5.473571429;0.000357143;0;0;0;6;1;0;0;0
665;4422.431071;4422.431071;13;13;8875.016071;8875.016071;0;0;1719.557143;15;15;0;0;11
100;1471.782857;953.1439286;11;3;1351.497857;911.4642857;35.71428571;413.4085714;327.2857143;36;13;1;17;8
169;1012.013214;1012.013214;3;3;869.4657143;869.4657143;217.8571429;246.6775;403.5025;21;21;5;9;6
804;178.5735714;178.5735714;2;2;108.7535714;108.7535714;0;0;0;3;3;0;0;0
393;3285.735;3285.735;3;3;3931.714286;3931.714286;0;0;103.5714286;9;9;0;0;4
1023;357.1489286;357.1489286;2;2;869.0296429;869.0296429;232.1428571;184.9939286;448.3928571;24;24;2;11;10
1365;1586.864643;1586.751071;9;8;1735.682143;1664.253571;428.5714286;8.860714286;1221.428571;40;38;15;1;8
671;641.3907143;641.3907143;2;2;346.25;346.25;0;0;343.4285714;5;5;0;0;4
752;1036.567857;1034.420357;3;2;1248.642857;1248.642857;0;182.6785714;1053.642857;7;7;0;2;3
1179;3125.235714;2350.914286;37;32;3188.399286;2350.914286;428.5714286;162.2607143;970.6428571;66;37;6;7;17
94;527.6478571;527.3632143;4;3;367.0892857;367.0892857;232.1428571;79;55.30357143;7;7;1;2;3
1443;760.0767857;544.1221429;3;2;1922.342857;1919.521429;1042.857143;626.7714286;13.60714286;45;44;16;11;1
33;730.5721429;730.5721429;5;5;635.8428571;635.8428571;139.2857143;56.73571429;436.4285714;13;13;2;4;6
1326;1035.001429;1035.001429;4;4;1082.896429;1082.896429;775;86.25357143;219.0357143;13;13;2;3;7
278;267.8614286;267.8614286;3;3;344.25;344.25;0;0;240.6785714;4;4;0;0;3
105;1046.461429;1046.461429;4;4;683.7242857;683.7242857;303.5714286;374.7957143;0;13;13;3;6;0
1288;1045.343571;1043.878929;7;3;662.07;427.6057143;0;268.6071429;391.32;11;8;0;2;6
1585;178.5792857;178.5792857;5;5;0;0;0;0;0;0;0;0;0;0
939;171.4296429;171.4296429;2;2;170.7035714;170.7035714;0;0;0;2;2;0;0;0
530;10.91178571;0.010714286;2;1;0;0;0;0;0;0;0;0;0;0
689;1071.428929;1071.428929;3;3;908.275;908.275;0;10.78571429;0;5;5;0;3;0
535;1917.677143;1913.758214;8;7;3200;3200;2857.142857;0;333.6785714;10;10;2;0;7
1568;232.1432143;232.1432143;4;4;175.4392857;175.4392857;28.57142857;13.86785714;125.8571429;9;9;2;4;2
1219;347.3221429;347.3221429;2;2;368.4928571;368.4928571;71.42857143;19.67142857;246.3214286;13;13;2;3;5
1422;10.56107143;1.633214286;7;2;3.27;1.607142857;0;0;0;6;1;0;0;0
78;4312.963571;4312.963571;5;5;2721.265;2721.265;435.4785714;1592.823571;683.6071429;64;64;3;47;10
972;970.15;970.1460714;7;6;935.2321429;935.2321429;285.7142857;25.98214286;620.0357143;19;19;3;1;14
1474;263.1917857;262.7717857;4;3;342.0357143;342.0357143;0;0;338.6428571;8;8;0;0;7
1174;2115.861071;2115.861071;5;5;2243.785714;2243.785714;0;0;2239.285714;12;12;0;0;10
949;3112.797857;2980.3525;10;5;5846.526786;5578.716071;642.8571429;775.61;1721.345357;38;31;2;14;11
1338;0.001071429;0.001071429;1;1;0;0;0;0;0;0;0;0;0;0
539;518.5721429;518.5721429;3;3;355.5714286;355.5714286;178.5714286;170.75;0;14;14;2;5;0
323;768.7171429;768.7171429;6;6;837.0317857;837.0317857;785.7142857;0;47.92464286;10;10;7;0;2
587;1434.443571;1428.591786;4;3;607.8214286;607.8214286;0;0;607.8214286;5;5;0;0;5
905;573.8610714;573.8610714;2;2;634.8453571;634.8453571;0;0;631.4525;2;2;0;0;1
547;528.9292857;526.3135714;3;2;325.9857143;325.9857143;0;102.0928571;222.8214286;11;11;0;2;8
1407;700.7367857;700.7367857;2;2;203.7857143;203.7857143;0;11.17857143;190.5357143;5;5;0;1;3
668;3420.079643;2734.419643;36;30;3706.872143;2836.060714;339.2857143;638.7571429;1260.285714;99;72;10;33;20
945;436.0360714;436.0360714;2;2;430.5357143;430.5357143;428.5714286;0;0;2;2;1;0;0
1330;343.3767857;343.3767857;3;3;342.8571429;342.8571429;342.8571429;0;0;2;2;2;0;0
258;1447.768571;1447.768571;2;2;1977.821429;1977.821429;1500;0;474.2142857;9;9;3;0;5
409;469.1796429;469.1796429;3;3;465.0928571;465.0928571;178.5714286;11.41428571;271.7142857;12;12;1;1;9
380;390.2275;390.2275;2;2;0.892857143;0.892857143;0;0;0;1;1;0;0;0
15;47.4375;47.4375;2;2;20.80357143;20.80357143;0;17.41071429;0;2;2;0;1;0
725;1156.5575;1156.5575;6;6;0;0;0;0;0;0;0;0;0;0
1160;884.5928571;865.2971429;3;2;929.5178571;925.625;285.7142857;190.8142857;178.6428571;28;26;3;9;7
892;608.755;608.755;3;3;782.6464286;782.6464286;178.5714286;0;251.3214286;12;12;3;0;4
877;1272.231071;1272.231071;8;8;1317.642857;1317.642857;207.1428571;165.9285714;941.6071429;13;13;2;7;2
428;560.6892857;560.6892857;3;3;1242.783929;1242.783929;714.2857143;0;525.7839286;12;12;3;0;7
686;513.3592857;513.3592857;3;3;496.74;496.74;0;0;119.2185714;7;7;0;0;5
418;627.6103571;627.6103571;2;2;1082.210714;1082.210714;1078.282143;0;0;9;9;6;0;0
1583;725.0517857;725.0517857;2;2;1095.428571;1095.428571;857.1428571;63.92857143;171.9642857;10;10;3;1;4
