,Client,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,Age,Tenure,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,credit-debit,Sex__F,Sex__M
20,22,1,0.0,0.0,0.0,0.0,0.0,2492.146786,0.0,0.0,0.0,0.0,0.0,54,0,0.0,1.0,1.0,0.0,1.107142857,30.56035714,2423.411071,2423.411071,7.0,7.0,3587.078214,3587.078214,1392.682143,466.84,1273.107143,29.0,29.0,4.0,12.0,9.0,-1163.6671430000001,0,1
23,26,1,0.0,1.0,1.0,0.0,0.0,1868.234286,0.0,61064.28571,0.0,0.0,0.0,27,24,0.0,0.0,0.0,0.0,0.0,0.0,480.7871429,480.7871429,3.0,3.0,476.7142857,476.7142857,457.1428571,0.0,16.17857143,7.0,7.0,4.0,0.0,2.0,4.072857199999987,1,0
24,27,1,0.0,0.0,1.0,0.0,0.0,1649.98,0.0,0.0,0.0,0.0,0.0,62,181,1.0,0.0,0.0,220.4882143,0.0,0.0,10491.71071,10134.56786,4.0,3.0,425.0,67.85714286,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,10066.71071,0,1
26,29,1,0.0,0.0,1.0,0.0,0.0,373.3542857,0.0,0.0,0.0,0.0,0.0,60,150,0.0,1.0,0.0,0.0,4.286785714,0.0,199.4935714,192.6217857,5.0,4.0,385.2435714,192.6217857,92.85714286,0.0,89.28571429,8.0,4.0,1.0,0.0,1.0,-185.75,1,0
28,31,1,0.0,0.0,0.0,1.0,1.0,2336.850714,0.0,0.0,0.0,613.6017857,679.5007143,59,97,0.0,0.0,0.0,0.0,0.0,0.0,1224.863571,1056.094286,6.0,2.0,2816.695714,2697.481429,57.14285714,1320.296429,843.8278571,46.0,41.0,1.0,22.0,13.0,-1591.8321429999999,1,0
30,33,1,0.0,0.0,0.0,0.0,0.0,18635.57536,0.0,0.0,0.0,0.0,0.0,71,150,0.0,1.0,1.0,0.0,3.25,14.98964286,730.5721429,730.5721429,5.0,5.0,635.8428571,635.8428571,139.2857143,56.73571429,436.4285714,13.0,13.0,2.0,4.0,6.0,94.72928580000007,0,1
31,34,1,1.0,3.0,1.0,1.0,0.0,188.6085714,1343.258929,0.0,0.0,728.6689286,0.0,48,104,1.0,0.0,0.0,0.601071429,0.0,0.0,18889.29393,18134.3675,11.0,4.0,8458.406429,7683.438214,1107.142857,844.5753571,5775.094286,54.0,19.0,6.0,33.0,11.0,10430.887501,1,0
32,35,1,0.0,0.0,1.0,0.0,0.0,14.86321429,0.0,0.0,0.0,0.0,0.0,66,31,0.0,0.0,0.0,0.0,0.0,0.0,0.039642857,0.039642857,1.0,1.0,698.2428571,698.2428571,107.1428571,290.4928571,245.7857143,21.0,21.0,6.0,9.0,4.0,-698.203214243,0,1
33,36,1,1.0,2.0,0.0,0.0,0.0,60.99785714,1912.6325,3697.8375,0.0,0.0,0.0,49,263,1.0,0.0,0.0,0.238035714,0.0,0.0,7155.630357,7142.885,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7155.630357,1,0
34,37,1,1.0,0.0,0.0,0.0,0.0,19.01357143,3850.173214,0.0,0.0,0.0,0.0,30,172,0.0,1.0,0.0,0.0,0.642857143,0.0,1205.178571,1188.082857,3.0,2.0,889.6303571,889.6303571,382.1428571,265.8803571,238.9285714,32.0,32.0,12.0,16.0,2.0,315.54821389999995,1,0
35,38,1,1.0,0.0,0.0,0.0,0.0,6398.112143,7908.883214,0.0,0.0,0.0,0.0,27,12,0.0,0.0,0.0,0.0,0.0,0.0,987.8585714,987.8585714,4.0,4.0,957.6796429,957.6796429,307.1428571,219.4296429,427.7142857,26.0,26.0,4.0,12.0,9.0,30.178928499999984,1,0
37,40,1,0.0,0.0,0.0,0.0,0.0,871.7367857,0.0,0.0,0.0,0.0,0.0,27,33,0.0,0.0,0.0,0.0,0.0,0.0,0.001071429,0.001071429,1.0,1.0,18.03571429,18.03571429,0.0,0.0,18.03571429,1.0,1.0,0.0,0.0,1.0,-18.034642861000002,0,1
39,42,1,0.0,12.0,0.0,0.0,0.0,875.3714286,0.0,0.0,0.0,0.0,0.0,23,4,1.0,0.0,0.0,15.27571429,0.0,0.0,643.1878571,643.1878571,4.0,4.0,546.6428571,546.6428571,178.5714286,68.53571429,296.0714286,9.0,9.0,1.0,1.0,6.0,96.54499999999996,0,1
40,43,1,0.0,0.0,1.0,0.0,0.0,26315.77036,0.0,0.0,0.0,0.0,0.0,65,83,1.0,1.0,0.0,73.04178571,1.964285714,0.0,2230.964286,1716.591071,22.0,18.0,2242.764643,1812.185357,410.7142857,334.5978571,551.6428571,51.0,37.0,7.0,10.0,13.0,-11.800357000000076,1,0
41,44,1,0.0,0.0,0.0,0.0,0.0,186.8460714,0.0,0.0,0.0,0.0,0.0,35,51,0.0,1.0,0.0,0.0,4.464285714,0.0,0.196428571,0.196428571,1.0,1.0,362.6428571,362.6428571,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,-362.446428529,1,0
42,45,1,1.0,0.0,0.0,0.0,0.0,0.0,38757.89464,0.0,0.0,0.0,0.0,63,52,0.0,1.0,1.0,0.0,15.39392857,5.556785714,5.913928571,0.008571429,2.0,1.0,3.392857143,3.392857143,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.5210714279999995,0,1
43,46,1,1.0,1.0,0.0,0.0,0.0,503.9935714,3628.388571,1891.052143,0.0,0.0,0.0,45,95,0.0,1.0,0.0,0.0,7.1525,0.0,2470.373214,2469.470357,6.0,5.0,4293.023214,2677.916071,964.2857143,407.1660714,591.8571429,35.0,32.0,5.0,9.0,16.0,-1822.6499999999996,0,1
44,47,1,1.0,5.0,0.0,0.0,0.0,622.2275,1537.054286,0.0,0.0,0.0,0.0,45,229,0.0,0.0,1.0,0.0,0.0,4.496071429,15.82357143,0.100357143,2.0,1.0,1060.306071,1060.306071,0.0,6.073928571,1053.375,22.0,22.0,0.0,2.0,19.0,-1044.48249957,0,1
45,48,1,0.0,5.0,1.0,0.0,0.0,2418.3175,0.0,59721.75929,0.0,0.0,0.0,64,92,0.0,1.0,0.0,0.0,0.893928571,0.0,360.975,360.975,2.0,2.0,308.5357143,308.5357143,178.5714286,0.0,128.6785714,8.0,8.0,1.0,0.0,6.0,52.43928570000003,0,1
46,49,2,0.0,0.0,0.0,0.0,0.0,4.145357143,0.0,0.0,0.0,0.0,0.0,46,19,0.0,1.0,0.0,0.0,15.24642857,0.0,415.7382143,415.7382143,9.0,9.0,111.7142857,111.7142857,0.0,0.0,108.6785714,3.0,3.0,0.0,0.0,2.0,304.0239286,1,0
47,50,1,0.0,0.0,0.0,0.0,0.0,169.5635714,0.0,0.0,0.0,0.0,0.0,33,109,0.0,0.0,0.0,0.0,0.0,0.0,1823.5595717378808,1506.3291131148796,5.541902961562697,4.2652804032766225,1697.2186582726872,1460.2029032694077,257.93733729376004,150.85040125188218,715.9749306914099,16.006931316950222,13.596723377441714,1.988657844990548,5.24007561436673,4.601134215500945,126.34091346519358,1,0
49,52,1,0.0,0.0,0.0,1.0,0.0,960.5725,0.0,0.0,0.0,0.464285714,0.0,43,53,0.0,0.0,0.0,0.0,0.0,0.0,49.79964286,0.0,4.0,0.0,36.60321429,1.964285714,17.85714286,0.0,0.0,8.0,1.0,1.0,0.0,0.0,13.196428570000002,1,0
50,53,1,1.0,9.0,1.0,1.0,0.0,0.0,7522.666429,83343.19786,531.1228571,398.3478571,0.0,64,125,0.0,0.0,0.0,0.0,0.0,0.0,4412.515,4409.652143,4.0,3.0,5510.359643,5510.359643,1157.142857,1104.989286,3241.591071,68.0,68.0,8.0,21.0,34.0,-1097.8446429999995,0,1
53,56,1,1.0,0.0,0.0,0.0,0.0,583.7142857,2907.094286,0.0,0.0,0.0,0.0,54,105,0.0,0.0,0.0,0.0,0.0,0.0,977.3978571,964.9039286,3.0,2.0,478.7457143,478.7457143,314.2857143,164.46,0.0,10.0,10.0,3.0,7.0,0.0,498.65214280000004,0,1
55,58,1,0.0,6.0,0.0,0.0,0.0,1263.052857,0.0,1793.9,0.0,0.0,0.0,45,49,0.0,0.0,0.0,0.0,0.0,0.0,1823.5595717378808,1506.3291131148796,5.541902961562697,4.2652804032766225,1697.2186582726872,1460.2029032694077,257.93733729376004,150.85040125188218,715.9749306914099,16.006931316950222,13.596723377441714,1.988657844990548,5.24007561436673,4.601134215500945,126.34091346519358,1,0
57,60,1,0.0,0.0,0.0,0.0,0.0,3891.116071,0.0,0.0,0.0,0.0,0.0,20,28,0.0,0.0,0.0,0.0,0.0,0.0,356.4042857,356.4042857,2.0,2.0,1.964285714,1.964285714,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,354.439999986,1,0
61,65,1,0.0,0.0,0.0,0.0,0.0,220.4589286,0.0,0.0,0.0,0.0,0.0,67,180,0.0,0.0,0.0,0.0,0.0,0.0,191.1789286,191.1789286,4.0,4.0,190.1071429,190.1071429,75.0,18.57142857,85.82142857,19.0,19.0,6.0,9.0,2.0,1.0717856999999924,1,0
62,66,1,1.0,1.0,0.0,1.0,0.0,101.3239286,4104.848929,0.0,0.0,671.9992857,0.0,62,91,0.0,0.0,0.0,0.0,0.0,0.0,2135.977143,0.017857143,9.0,1.0,12005.12964,9965.385714,0.0,962.9582143,0.0,23.0,5.0,0.0,14.0,0.0,-9869.152497,0,1
63,68,1,0.0,0.0,1.0,0.0,0.0,4714.448214,0.0,0.0,0.0,0.0,0.0,54,20,0.0,1.0,0.0,0.0,3.5,0.0,874.6642857,832.8860714,6.0,4.0,815.5914286,773.8510714,678.5553571,34.33928571,10.71428571,33.0,31.0,13.0,3.0,1.0,59.07285710000008,0,1
64,69,1,0.0,0.0,0.0,0.0,0.0,1909.81,0.0,0.0,0.0,0.0,0.0,41,17,1.0,0.0,0.0,42.71660714,0.0,0.0,3851.019286,3851.019286,3.0,3.0,988.4967857,988.4967857,135.7142857,199.0821429,653.7003571,21.0,21.0,2.0,10.0,9.0,2862.5225003,0,1
66,71,1,0.0,0.0,1.0,0.0,0.0,53.59607143,0.0,0.0,0.0,0.0,0.0,43,15,0.0,0.0,0.0,0.0,0.0,0.0,271.4303571,271.4303571,2.0,2.0,301.5,301.5,178.5714286,0.0,120.3214286,6.0,6.0,2.0,0.0,3.0,-30.06964290000002,1,0
67,72,1,0.0,0.0,0.0,0.0,0.0,1377.374286,0.0,0.0,0.0,0.0,0.0,47,129,0.0,0.0,0.0,0.0,0.0,0.0,430.8242857,430.8242857,4.0,4.0,1261.107143,1261.107143,357.1428571,0.0,880.1071429,13.0,13.0,1.0,0.0,10.0,-830.2828572999999,0,1
68,73,1,1.0,1.0,1.0,0.0,0.0,179.3571429,21.01607143,53571.42857,0.0,0.0,0.0,87,163,0.0,1.0,1.0,0.0,1.785714286,18.35392857,1283.688571,533.3767857,6.0,3.0,1053.6,1053.596071,0.0,0.0,304.5164286,4.0,3.0,0.0,0.0,2.0,230.088571,0,1
70,75,1,1.0,35.0,0.0,0.0,0.0,3707.065714,5589.0225,4392.478571,0.0,0.0,0.0,59,57,1.0,0.0,0.0,0.004821429,0.0,0.0,503.6742857,496.2525,5.0,2.0,511.2857143,511.2857143,53.57142857,188.6785714,266.5357143,13.0,13.0,1.0,6.0,5.0,-7.611428600000011,0,1
71,76,1,0.0,0.0,1.0,1.0,1.0,178.3085714,0.0,0.0,0.0,886.5778571,3447.673571,66,178,0.0,0.0,0.0,0.0,0.0,0.0,792.6785714,659.2928571,7.0,2.0,1587.809643,1559.736071,285.7142857,39.42857143,0.0,16.0,9.0,2.0,1.0,0.0,-795.1310716,1,0
73,78,1,0.0,0.0,0.0,0.0,0.0,3684.754286,0.0,0.0,0.0,0.0,0.0,24,142,0.0,0.0,0.0,0.0,0.0,0.0,4312.963571,4312.963571,5.0,5.0,2721.265,2721.265,435.4785714,1592.823571,683.6071429,64.0,64.0,3.0,47.0,10.0,1591.6985710000004,1,0
74,79,1,2.0,1.0,0.0,0.0,0.0,340.195,901.5539286,4771.731071,0.0,0.0,0.0,41,75,0.0,0.0,0.0,0.0,0.0,0.0,50.34857143,0.000357143,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.34857143,1,0
75,81,1,0.0,0.0,0.0,0.0,0.0,5860.190714,0.0,0.0,0.0,0.0,0.0,86,19,0.0,0.0,0.0,0.0,0.0,0.0,0.073214286,0.073214286,1.0,1.0,3.392857143,3.392857143,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-3.3196428570000003,0,1
76,82,1,0.0,1.0,0.0,0.0,0.0,11324.90786,0.0,34612.79036,0.0,0.0,0.0,20,151,0.0,0.0,1.0,0.0,0.0,5.396428571,1001.576071,1001.576071,4.0,4.0,886.0357143,886.0357143,357.1428571,0.0,525.2857143,16.0,16.0,1.0,0.0,14.0,115.54035669999996,1,0
77,83,1,3.0,7.0,0.0,0.0,0.0,14.855,90800.88214,0.0,0.0,0.0,0.0,43,111,0.0,1.0,1.0,0.0,5.25,28.68535714,569.7671429,568.7203571,4.0,3.0,225.0714286,225.0714286,0.0,0.0,224.3928571,4.0,4.0,0.0,0.0,3.0,344.69571429999996,1,0
79,85,1,0.0,0.0,1.0,0.0,0.0,364.4975,0.0,0.0,0.0,0.0,0.0,25,60,0.0,0.0,0.0,0.0,0.0,0.0,196.4964286,196.4964286,3.0,3.0,120.25,120.25,71.42857143,8.892857143,29.21428571,6.0,6.0,2.0,1.0,2.0,76.2464286,1,0
80,86,1,0.0,0.0,0.0,0.0,0.0,34.32214286,0.0,0.0,0.0,0.0,0.0,36,31,1.0,0.0,0.0,1.457321429,0.0,0.0,9319.197143,9319.197143,4.0,4.0,1086.582143,1086.582143,460.7142857,0.0,203.6785714,15.0,15.0,6.0,0.0,5.0,8232.615,0,1
81,87,1,0.0,19.0,0.0,0.0,0.0,826.4403571,0.0,1035.577143,0.0,0.0,0.0,45,58,1.0,0.0,0.0,3.875178571,0.0,0.0,0.000357143,0.000357143,1.0,1.0,3.392857143,3.392857143,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-3.3925,0,1
82,88,1,0.0,0.0,0.0,0.0,0.0,7153.65,0.0,0.0,0.0,0.0,0.0,21,33,0.0,0.0,0.0,0.0,0.0,0.0,127.5721429,127.5721429,3.0,3.0,110.0642857,110.0642857,46.42857143,62.38571429,0.0,12.0,12.0,5.0,6.0,0.0,17.507857200000004,0,1
84,90,1,0.0,0.0,0.0,0.0,0.0,649.5714286,0.0,0.0,0.0,0.0,0.0,20,81,0.0,0.0,0.0,0.0,0.0,0.0,107.1432143,107.1432143,2.0,2.0,78.95357143,78.95357143,35.71428571,3.382142857,35.82142857,4.0,4.0,1.0,1.0,1.0,28.18964287,1,0
86,92,1,0.0,0.0,0.0,0.0,0.0,2728.945714,0.0,0.0,0.0,0.0,0.0,59,149,0.0,0.0,0.0,0.0,0.0,0.0,8921.083214,8921.083214,6.0,6.0,9175.231071,9175.231071,0.0,828.6692857,5577.774286,36.0,36.0,0.0,15.0,12.0,-254.14785699999993,0,1
87,93,1,2.0,0.0,1.0,1.0,0.0,8.870357143,3655.818929,0.0,23.06428571,1.428571429,0.0,31,8,0.0,1.0,0.0,0.0,3.392857143,0.0,2186.541071,1367.827857,25.0,17.0,2137.954643,1356.104643,32.14285714,0.0,220.3214286,36.0,16.0,1.0,0.0,8.0,48.58642800000007,1,0
89,95,1,0.0,0.0,1.0,0.0,1.0,3662.217857,0.0,0.0,0.0,0.0,2812.066786,35,151,0.0,0.0,1.0,0.0,0.0,6.071428571,1808.9675,1395.194286,18.0,13.0,2289.280714,1895.194286,1214.285714,0.0,60.39285714,26.0,17.0,6.0,0.0,2.0,-480.313214,0,1
90,96,1,1.0,2.0,0.0,0.0,0.0,22.32857143,2077.6125,14285.71429,0.0,0.0,0.0,30,151,0.0,1.0,0.0,0.0,6.107142857,0.0,438.7257143,438.2985714,3.0,2.0,110.3571429,110.3571429,0.0,0.0,108.5714286,3.0,3.0,0.0,0.0,2.0,328.3685714,0,1
96,102,1,0.0,0.0,1.0,0.0,0.0,48.77107143,0.0,0.0,114.14,0.0,0.0,20,172,1.0,0.0,1.0,2.958035714,0.0,6.9525,4160.701071,2840.979643,38.0,33.0,4245.904643,2803.675714,232.1428571,786.3367857,202.2496429,86.0,58.0,4.0,38.0,6.0,-85.20357199999944,0,1
97,103,1,0.0,0.0,0.0,0.0,0.0,42.99071429,0.0,0.0,0.0,0.0,0.0,80,199,0.0,1.0,0.0,0.0,12.25642857,0.0,0.010357143,0.000714286,2.0,1.0,6.438214286,6.428571429,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-6.427857143,1,0
99,106,1,0.0,3.0,0.0,0.0,0.0,112.35,0.0,0.0,0.0,0.0,0.0,48,88,0.0,0.0,0.0,0.0,0.0,0.0,745.22,745.22,2.0,2.0,319.8928571,319.8928571,0.0,0.0,316.9642857,7.0,7.0,0.0,0.0,6.0,425.3271429,1,0
100,107,1,0.0,0.0,0.0,0.0,0.0,23.33071429,0.0,0.0,0.0,0.0,0.0,26,181,0.0,0.0,0.0,0.0,0.0,0.0,0.013214286,0.013214286,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013214286,1,0
101,108,1,2.0,0.0,1.0,0.0,0.0,816.8389286,0.0,0.0,0.0,0.0,0.0,39,82,0.0,0.0,0.0,0.0,0.0,0.0,1175.480357,1171.326071,8.0,6.0,465.5,465.5,0.0,31.60714286,430.5,10.0,10.0,0.0,2.0,7.0,709.9803569999999,1,0
105,112,1,0.0,0.0,0.0,0.0,0.0,204.4614286,0.0,0.0,0.0,0.0,0.0,73,31,0.0,0.0,1.0,0.0,0.0,12.5,157.2882143,157.2882143,4.0,4.0,222.5764286,222.5764286,146.4285714,76.14785714,0.0,21.0,21.0,8.0,13.0,0.0,-65.28821430000002,1,0
106,113,1,0.0,0.0,1.0,0.0,1.0,50.78071429,0.0,0.0,0.0,0.0,17300.48964,43,150,0.0,0.0,0.0,0.0,0.0,0.0,251.8785714,191.8075,7.0,4.0,241.9903571,226.6475,107.1428571,16.48214286,0.0,12.0,9.0,2.0,2.0,0.0,9.888214299999987,1,0
107,114,1,0.0,0.0,0.0,1.0,0.0,35.71428571,0.0,0.0,0.0,1068.209643,0.0,26,13,0.0,0.0,0.0,0.0,0.0,0.0,1406.255714,691.97,7.0,6.0,1016.868571,302.5828571,107.1428571,41.86857143,132.1428571,17.0,16.0,7.0,6.0,2.0,389.3871429999999,1,0
109,116,1,0.0,0.0,0.0,0.0,0.0,637.8357143,0.0,0.0,0.0,0.0,0.0,47,239,0.0,0.0,0.0,0.0,0.0,0.0,91.08071429,91.08071429,2.0,2.0,126.9285714,126.9285714,0.0,124.9642857,0.0,2.0,2.0,0.0,1.0,0.0,-35.84785710999999,1,0
111,118,1,1.0,2.0,0.0,0.0,0.0,1184.938214,5876.281429,23214.28571,0.0,0.0,0.0,43,92,0.0,0.0,1.0,0.0,0.0,11.3825,3098.8125,3075.161786,4.0,2.0,1618.580357,1618.580357,142.8571429,1209.508929,266.2142857,34.0,34.0,1.0,26.0,7.0,1480.232143,1,0
113,120,1,2.0,0.0,0.0,0.0,0.0,156.8175,4.548571429,0.0,0.0,0.0,0.0,32,14,0.0,0.0,1.0,0.0,0.0,7.297857143,1036.266786,1021.007857,3.0,2.0,710.9821429,710.9821429,114.2857143,139.5535714,456.9285714,19.0,19.0,1.0,9.0,8.0,325.2846430999999,0,1
115,122,1,0.0,0.0,0.0,0.0,0.0,1392.766786,0.0,0.0,0.0,0.0,0.0,39,80,1.0,1.0,0.0,3.293035714,2.857142857,0.0,857.1078571,857.1078571,3.0,3.0,862.4289286,862.4289286,0.0,0.0,861.7860714,5.0,5.0,0.0,0.0,4.0,-5.321071499999903,0,1
116,123,2,0.0,0.0,0.0,0.0,0.0,8883.968214,0.0,0.0,0.0,0.0,0.0,22,40,0.0,0.0,1.0,0.0,0.0,10.46107143,30.38178571,30.38178571,2.0,2.0,35.89285714,35.89285714,0.0,33.92857143,0.0,2.0,2.0,0.0,1.0,0.0,-5.511071429999998,1,0
120,127,1,0.0,0.0,1.0,0.0,0.0,2893.112857,0.0,0.0,676.7528571,0.0,0.0,25,150,1.0,1.0,1.0,19.35464286,0.071428571,14.07142857,32.15,32.15,3.0,3.0,52.14285714,52.14285714,0.0,0.0,52.14285714,4.0,4.0,0.0,0.0,4.0,-19.992857139999998,1,0
122,129,1,0.0,0.0,0.0,0.0,0.0,1103.658571,0.0,0.0,0.0,0.0,0.0,42,126,1.0,0.0,1.0,28.29553571,0.0,6.138928571,1062.034286,1062.034286,5.0,5.0,1021.607143,1021.607143,678.5714286,0.0,343.0357143,9.0,9.0,2.0,0.0,7.0,40.427143000000115,0,1
123,130,1,0.0,0.0,1.0,0.0,0.0,12.75035714,0.0,0.0,681.5203571,0.0,0.0,60,147,1.0,0.0,0.0,0.067142857,0.0,0.0,1922.257143,1339.546429,24.0,22.0,1958.164286,1350.260714,185.7142857,85.37142857,496.0357143,45.0,24.0,6.0,11.0,3.0,-35.907142999999905,1,0
124,131,1,0.0,0.0,0.0,0.0,0.0,898.485,0.0,0.0,0.0,0.0,0.0,47,92,1.0,1.0,0.0,3.138928571,4.642857143,0.0,23.21428571,23.21428571,1.0,1.0,24.32142857,24.32142857,0.0,0.0,22.14285714,3.0,3.0,0.0,0.0,2.0,-1.1071428599999997,0,1
125,132,1,1.0,0.0,0.0,0.0,0.0,79.41857143,1259.155,0.0,0.0,0.0,0.0,50,53,1.0,0.0,0.0,1.473214286,0.0,0.0,68.40142857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.40142857,0,1
127,134,1,0.0,0.0,0.0,0.0,1.0,2809.197857,0.0,0.0,0.0,0.0,7237.215357,32,128,0.0,0.0,1.0,0.0,0.0,20.14,528.7110714,433.4292857,3.0,2.0,403.8214286,401.0,285.7142857,0.0,0.0,6.0,5.0,2.0,0.0,0.0,124.88964280000005,0,1
129,136,1,0.0,0.0,0.0,0.0,0.0,564.9810714,0.0,0.0,0.0,0.0,0.0,33,52,0.0,0.0,0.0,0.0,0.0,0.0,399.0728571,399.0728571,2.0,2.0,96.64285714,96.64285714,0.0,0.0,95.10714286,4.0,4.0,0.0,0.0,3.0,302.42999996000003,0,1
130,137,3,0.0,1.0,0.0,0.0,0.0,185.7221429,0.0,0.0,0.0,0.0,0.0,63,168,0.0,1.0,0.0,0.0,9.392857143,0.0,447.1128571,447.1128571,2.0,2.0,503.9807143,503.9807143,178.5714286,255.9092857,67.42857143,11.0,11.0,1.0,6.0,3.0,-56.8678572,1,0
132,139,1,0.0,0.0,1.0,1.0,0.0,1653.963214,0.0,0.0,0.0,940.5742857,0.0,74,64,0.0,0.0,0.0,0.0,0.0,0.0,406.5010714,398.9021429,13.0,8.0,466.9139286,400.7628571,303.5714286,59.75535714,25.71428571,18.0,11.0,2.0,3.0,1.0,-60.41285720000002,1,0
135,142,1,0.0,0.0,0.0,0.0,0.0,1511.683929,0.0,0.0,0.0,0.0,0.0,27,183,0.0,0.0,0.0,0.0,0.0,0.0,714.2857143,714.2857143,1.0,1.0,728.1071429,728.1071429,0.0,0.0,725.9285714,2.0,2.0,0.0,0.0,1.0,-13.82142859999999,1,0
